trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4135,False,"{'a': 0.0015, 'e': 0.002027402220036602}",20,9,19.79014529862209,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4136,False,"{'a': 0.0015, 'e': 0.002024363396394058}",20,14,13.544380485234775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4137,False,"{'a': 0.0015, 'e': 0.002021329127570012}",25,18,13.164025175043541,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4138,False,"{'a': 0.0015, 'e': 0.002018299406737354}",30,8,37.81165032440293,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4139,False,"{'a': 0.0015, 'e': 0.0020152742270792127}",20,16,8.814591086827065,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4140,False,"{'a': 0.0015, 'e': 0.0020122535817889324}",20,10,20.08072638045141,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4141,False,"{'a': 0.0015, 'e': 0.0020092374640700602}",35,14,33.92207771525291,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4142,False,"{'a': 0.0015, 'e': 0.0020062258671363297}",25,10,25.957776466139713,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4143,False,"{'a': 0.0015, 'e': 0.0020032187842116468}",30,19,23.837860408926808,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4144,False,"{'a': 0.0015, 'e': 0.002000216208530073}",25,14,20.894480371545605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4145,False,"{'a': 0.0015, 'e': 0.0019972181333358127}",35,24,17.937458515905032,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4146,False,"{'a': 0.0015, 'e': 0.0019942245518831947}",25,8,30.037273908652995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4147,False,"{'a': 0.0015, 'e': 0.0019912354574366602}",20,15,9.701325263102213,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
